FIPS,without_decimal,Percent_Below_Poverty
31171,837,8.37
39011,838,8.38
6017,838,8.38
55039,840,8.4
39069,841,8.41
48501,841,8.41
30057,842,8.42
18179,842,8.42
6069,843,8.43
51101,843,8.43
27109,843,8.43
56029,845,8.45
48381,846,8.46
46091,848,8.48
48317,848,8.48
24033,848,8.48
17155,848,8.48
13103,848,8.48
34023,849,8.49
30007,851,8.51
27085,851,8.51
20103,851,8.51
13151,852,8.52
26139,852,8.52
31165,853,8.53
17085,853,8.53
18159,854,8.54
31097,854,8.54
27079,854,8.54
46127,856,8.56
51550,857,8.57
19027,858,8.58
13085,858,8.58
42095,858,8.58
31115,860,8.6
38103,861,8.61
44009,862,8.62
8045,862,8.62
19195,862,8.62
33001,864,8.64
50011,865,8.65
36069,866,8.66
48137,866,8.66
51015,866,8.66
24041,866,8.66
2220,866,8.66
31141,867,8.67
19077,868,8.68
19019,869,8.69
20115,869,8.69
38001,869,8.69
48039,870,8.7
6013,870,8.7
19159,870,8.7
53035,871,8.71
27075,871,8.71
25019,871,8.71
32005,872,8.72
46039,873,8.73
44005,874,8.74
31123,874,8.74
19095,874,8.74
48017,875,8.75
51157,875,8.75
38089,876,8.76
48139,876,8.76
16029,876,8.76
20113,877,8.77
20131,877,8.77
8007,877,8.77
31049,877,8.77
51165,880,8.8
51033,880,8.8
51073,880,8.8
19011,881,8.81
31059,882,8.82
46111,882,8.82
26037,882,8.82
39149,882,8.82
55049,882,8.82
36119,884,8.84
51045,885,8.85
27107,885,8.85
29049,887,8.87
30025,888,8.88
9001,889,8.89
51917,890,8.9
41067,892,8.92
32009,893,8.93
18129,893,8.93
20117,894,8.94
6111,894,8.94
53033,894,8.94
27147,894,8.94
31063,895,8.95
12115,895,8.95
19189,897,8.97
39025,897,8.97
47165,897,8.97
29037,897,8.97
38023,898,8.98
37055,898,8.98
33005,898,8.98
33003,899,8.99
51175,899,8.99
29073,899,8.99
20127,899,8.99
19089,901,9.01
21029,901,9.01
48031,901,9.01
27133,901,9.01
2020,903,9.03
55069,903,9.03
46025,904,9.04
36027,904,9.04
23005,904,9.04
18013,904,9.04
18037,904,9.04
19099,904,9.04
19105,904,9.04
24047,905,9.05
24005,905,9.05
49001,906,9.06
31015,906,9.06
51775,906,9.06
18047,906,9.06
49019,907,9.07
38099,908,9.08
19149,908,9.08
13067,910,9.1
37183,910,9.1
39097,911,9.11
48187,911,9.11
48359,911,9.11
46051,912,9.12
51003,912,9.12
18029,912,9.12
55083,913,9.13
56011,914,9.14
40003,914,9.14
26047,914,9.14
39109,915,9.15
51087,915,9.15
55095,915,9.15
8067,915,9.15
48011,916,9.16
27131,916,9.16
28033,917,9.17
55073,917,9.17
5125,918,9.18
19055,918,9.18
37029,918,9.18
27167,918,9.18
46105,918,9.18
48003,919,9.19
49035,919,9.19
50027,920,9.2
39045,920,9.2
31071,920,9.2
21179,921,9.21
6097,922,9.22
20105,922,9.22
18181,923,9.23
13211,923,9.23
42125,923,9.23
48339,925,9.25
42055,925,9.25
17065,925,9.25
53011,926,9.26
55093,927,9.27
51600,927,9.27
15009,928,9.28
20053,929,9.29
42099,929,9.29
31107,929,9.29
17107,930,9.3
17129,930,9.3
18147,930,9.3
18051,931,9.31
6027,931,9.31
48159,931,9.31
27111,932,9.32
38007,933,9.33
27049,933,9.33
18151,933,9.33
30069,934,9.34
27023,934,9.34
48443,938,9.38
9011,940,9.4
17089,940,9.4
31175,941,9.41
20199,943,9.43
20023,944,9.44
5007,944,9.44
55011,944,9.44
56025,945,9.45
38101,946,9.46
31051,946,9.46
8049,946,9.46
37053,947,9.47
36113,947,9.47
33017,947,9.47
42047,948,9.48
26019,948,9.48
48171,949,9.49
20015,949,9.49
34039,950,9.5
17141,953,9.53
13231,953,9.53
42103,954,9.54
6095,955,9.55
31137,956,9.56
48329,956,9.56
46067,957,9.57
48383,957,9.57
33009,957,9.57
31033,957,9.57
29099,958,9.58
2130,958,9.58
20079,958,9.58
48493,959,9.59
38009,959,9.59
38041,961,9.61
28089,961,9.61
19093,961,9.61
56009,962,9.62
42133,962,9.62
49055,962,9.62
18015,963,9.63
19139,963,9.63
8057,964,9.64
23023,964,9.64
26055,964,9.64
30009,965,9.65
27051,965,9.65
17131,965,9.65
12113,965,9.65
19083,965,9.65
18183,966,9.66
6091,966,9.66
46087,967,9.67
31029,967,9.67
39117,970,9.7
32015,970,9.7
50017,970,9.7
25011,970,9.7
31169,971,9.71
27161,971,9.71
46129,972,9.72
54037,972,9.72
21215,974,9.74
29189,974,9.74
48221,975,9.75
51103,975,9.75
8015,975,9.75
34009,976,9.76
31185,977,9.77
54079,977,9.77
55009,977,9.77
36053,978,9.78
30111,979,9.79
19085,979,9.79
24015,979,9.79
8053,980,9.8
19079,981,9.81
20147,981,9.81
18043,982,9.82
18085,982,9.82
37149,983,9.83
20059,984,9.84
20065,984,9.84
17083,986,9.86
12085,986,9.86
19183,986,9.86
23013,986,9.86
19161,987,9.87
36031,987,9.87
27103,987,9.87
39125,988,9.88
38051,988,9.88
40131,988,9.88
22023,988,9.88
19051,988,9.88
13047,988,9.88
18127,989,9.89
20143,989,9.89
38029,989,9.89
36041,989,9.89
31099,989,9.89
27155,989,9.89
46115,989,9.89
31111,990,9.9
55111,990,9.9
55119,991,9.91
6001,991,9.91
19107,991,9.91
19157,992,9.92
56021,992,9.92
51187,994,9.94
39075,995,9.95
6005,995,9.95
20047,996,9.96
29043,996,9.96
46099,996,9.96
55071,997,9.97
27129,998,9.98
27065,998,9.98
42045,999,9.99
15005,1000,10
20063,1000,10
8123,1001,10.01
42129,1001,10.01
48089,1001,10.01
41007,1003,10.03
19081,1003,10.03
19173,1004,10.04
51119,1004,10.04
50021,1006,10.06
30091,1007,10.07
29087,1007,10.07
17007,1007,10.07
8041,1008,10.08
18019,1008,10.08
26087,1008,10.08
47119,1009,10.09
34029,1009,10.09
29129,1009,10.09
39123,1010,10.1
51091,1010,10.1
26029,1011,10.11
25027,1012,10.12
27127,1012,10.12
27011,1012,10.12
39135,1014,10.14
39021,1015,10.15
36107,1015,10.15
42071,1015,10.15
48053,1015,10.15
56035,1015,10.15
2185,1015,10.15
19033,1015,10.15
26045,1015,10.15
19115,1015,10.15
37037,1016,10.16
51071,1017,10.17
39039,1018,10.18
31077,1018,10.18
27097,1018,10.18
47169,1019,10.19
20135,1019,10.19
17047,1020,10.2
19113,1020,10.2
13227,1020,10.2
49057,1020,10.2
20129,1021,10.21
53055,1022,10.22
45013,1022,10.22
37025,1022,10.22
48251,1024,10.24
12019,1024,10.24
8017,1024,10.24
26155,1026,10.26
55141,1027,10.27
55017,1028,10.28
51021,1029,10.29
53023,1029,10.29
2170,1029,10.29
55037,1030,10.3
51510,1031,10.31
19023,1031,10.31
20165,1032,10.32
27009,1032,10.32
51063,1034,10.34
2105,1034,10.34
6075,1034,10.34
1003,1035,10.35
40145,1035,10.35
29051,1035,10.35
51800,1036,10.36
26005,1036,10.36
25009,1036,10.36
30049,1037,10.37
53067,1038,10.38
41021,1039,10.39
55135,1039,10.39
16041,1039,10.39
24023,1040,10.4
19153,1040,10.4
21157,1041,10.41
48155,1041,10.41
42131,1042,10.42
53053,1043,10.43
26111,1043,10.43
38061,1044,10.44
38095,1045,10.45
46013,1045,10.45
42109,1045,10.45
27125,1045,10.45
27053,1045,10.45
42093,1046,10.46
29071,1046,10.46
45091,1047,10.47
36121,1047,10.47
55115,1047,10.47
55091,1047,10.47
16019,1048,10.48
39089,1049,10.49
20075,1050,10.5
56043,1051,10.51
39037,1051,10.51
27067,1051,10.51
31083,1052,10.52
51093,1052,10.52
20033,1052,10.52
19135,1053,10.53
20081,1053,10.53
31035,1053,10.53
41025,1054,10.54
18109,1054,10.54
12089,1055,10.55
48269,1055,10.55
46069,1055,10.55
50023,1055,10.55
26099,1056,10.56
19071,1056,10.56
8103,1057,10.57
35027,1057,10.57
47021,1057,10.57
31057,1058,10.58
17123,1058,10.58
22005,1061,10.61
26083,1061,10.61
