subregion,region,FIPS,geometry
Liberty,Montana,30051,"list(list(c(-111.420734816534, -111.422310073765, -111.286606128812, -111.282679434427, -110.750797311572, -110.755727916437, -110.826242849659, -110.826796583036, -111.420734816534, 48.127215536272, 48.2177625216981, 48.2193731092841, 49.0000115985854, 49.0000053821006, 48.2160647997178, 48.2149396677853, 48.1303338804258, 48.127215536272)))"
Hill,Montana,30041,"list(list(c(-109.54027356905, -109.726636321537, -109.724753607332, -109.845690551823, -109.845279901203, -110.628749274043, -110.628029871347, -110.755727916437, -110.750797311572, -109.500737036978, -109.497748202923, -109.510817999444, -109.513364893239, -109.50028742972, -109.502203143098, -109.466556524543, -109.46661008992, -109.498624934486, -109.500051617732, -109.524505041095, -109.522933047518, -109.558846197856, -109.557762146527, -109.539343997366, -109.54027356905, 48.1324871671289, 
48.132340147265, 48.2183183272372, 48.21976972101, 48.3052599587349, 48.3021316164015, 48.2157217533687, 48.2160647997178, 49.0000053821006, 49.0000050194723, 48.9170112184079, 48.9174269458243, 48.5803990863841, 48.5790601591809, 48.5216436701144, 48.5193432081352, 48.4476859958444, 48.4478157649631, 48.3927566705151, 48.3922567615345, 48.2865064820274, 48.2855409583404, 48.2176831061057, 48.2165694228659, 48.1324871671289)))"
Sheridan,Montana,30091,"list(list(c(-104.052111462898, -104.6342434522, -104.635052113256, -104.758179954183, -104.757836752422, -104.979227376017, -104.979281045002, -105.035916484566, -105.034544454581, -105.056487609605, -105.0630345005, -104.06299108824, -104.052317642975, -104.052111462898, 48.3910193702486, 48.3942070282071, 48.4763462180331, 48.4780395366701, 48.5648249789888, 48.5671471468605, 48.6604289711364, 48.6614091553666, 48.9160522220298, 48.9177383917094, 49.0000213377448, 49.0000267253649, 48.6458247389674, 
48.3910193702486)))"
Divide,North Dakota,38023,"list(list(c(-102.885017792248, -104.052317642975, -104.06299108824, -102.937958826739, -102.93941493468, -102.88481057609, -102.885017792248, 48.6367816186276, 48.6458247389674, 49.0000267253649, 49.0000262073245, 48.7286693443983, 48.7273228020013, 48.6367816186276)))"
Burke,North Dakota,38013,"list(list(c(-102.234169091541, -102.883065764238, -102.885017792248, -102.88481057609, -102.93941493468, -102.937958826739, -102.022264409215, -102.019362346926, -102.154740548078, -102.157028421676, -102.23418561703, -102.234169091541, 48.5492774988698, 48.5527218458437, 48.6367816186276, 48.7273228020013, 48.7286693443983, 49.0000262073245, 49.0000152766722, 48.802345360106, 48.8023405941343, 48.7224246782688, 48.7224912982635, 48.5492774988698)))"
Renville,North Dakota,38075,"list(list(c(-101.061306419451, -101.84620392605, -101.845655476685, -102.01830103757, -102.019362346926, -102.022264409215, -101.500437450414, -101.496159006601, -101.455196412932, -101.455158336963, -101.061581602509, -101.061306419451, 48.4603148363817, 48.4612043117388, 48.7221418282135, 48.7260722006854, 48.802345360106, 49.0000152766722, 49.0000200944478, 48.7181919256187, 48.7179171569936, 48.5465198144386, 48.5439000841644, 48.4603148363817)))"
Bottineau,North Dakota,38009,"list(list(c(-101.061581602509, -101.455158336963, -101.455196412932, -101.496159006601, -101.500437450414, -100.187908290591, -100.18605987066, -100.151323500882, -100.148056893568, -100.282286858186, -100.411749245252, -100.412866140342, -101.063238243886, -101.061581602509, 48.5439000841644, 48.5465198144386, 48.7179171569936, 48.7181919256187, 49.0000200944478, 49.0000022220542, 48.7182693208537, 48.7163961903958, 48.5429884884825, 48.5429197445221, 48.5425993883423, 48.6327324076893, 48.6270878395525, 
48.5439000841644)))"
Rolette,North Dakota,38079,"list(list(c(-100.148056893568, -100.151323500882, -100.18605987066, -100.187908290591, -99.5335659772694, -99.5331757374403, -99.4984915861341, -99.4959699209065, -100.148056893568, 48.5429884884825, 48.7163961903958, 48.7182693208537, 49.0000022220542, 49.0000086457551, 48.7230569465701, 48.7205623748552, 48.54201840604, 48.5429884884825)))"
Towner,North Dakota,38095,"list(list(c(-99.4933726217814, -99.4959699209065, -99.4984915861341, -99.5331757374403, -99.5335659772694, -99.0004034139717, -98.9994819755222, -98.9633101676156, -98.9659267896474, -98.9699835121714, -99.2126329076249, -99.4933726217814, 48.3746863854796, 48.54201840604, 48.7205623748552, 48.7230569465701, 49.0000086457551, 49.0000065217895, 48.7207791747602, 48.71995134621, 48.547083908624, 48.3730053444, 48.3741339472031, 48.3746863854796)))"
Cavalier,North Dakota,38019,"list(list(c(-97.926551885703, -98.3201299670623, -98.9659267896474, -98.9633101676156, -98.9994819755222, -99.0004034139717, -97.9378678046649, -97.947208228387, -97.9240904685733, -97.926551885703, 48.546529605402, 48.5468762262299, 48.547083908624, 48.71995134621, 48.7207791747602, 49.0000065217895, 48.9999919130504, 48.7186409630325, 48.7171799855124, 48.546529605402)))"
Pembina,North Dakota,38067,"list(list(c(-97.1604356745804, -97.926551885703, -97.9240904685733, -97.947208228387, -97.9378678046649, -97.2294364275331, -97.216369117606, -97.1757275017649, -97.1712043874738, -97.1804218802103, -97.16471240886, -97.1739447175518, -97.1475160061657, -97.1392460093104, -97.1478983717808, -97.1325017968286, -97.1348061441107, -97.1101012639409, -97.1167392781419, -97.0971692661648, -97.1076300558477, -97.1274443238708, -97.1229581976638, -97.1447180699959, -97.1408118900104, -97.1581923006527, 
-97.1521268246956, -97.1679431677793, -97.1466183975744, -97.1604356745804, 48.545077900805, 48.546529605402, 48.7171799855124, 48.7186409630325, 48.9999919130504, 48.9999877687272, 48.9318299193001, 48.8737577983105, 48.8359804796137, 48.8155375177681, 48.8103683034972, 48.8015144751175, 48.7811700963589, 48.7635421142122, 48.7556533950871, 48.7472187649945, 48.7262379218075, 48.7085830533643, 48.6952430987776, 48.6745288909816, 48.6299465936647, 48.6297943415928, 48.6207686792143, 48.6140246221446, 
48.5869058291492, 48.5836407241517, 48.5728564182425, 48.5622632692388, 48.5495370371073, 48.545077900805)))"
Kittson,Minnesota,27069,"list(list(c(-97.1604356745804, -97.1466183975744, -97.1679431677793, -97.1521268246956, -97.1581923006527, -97.1408118900104, -97.1447180699959, -97.1229581976638, -97.1274443238708, -97.1076300558477, -97.0971692661648, -97.1167392781419, -97.1101012639409, -97.1348061441107, -97.1325017968286, -97.1478983717808, -97.1392460093104, -97.1475160061657, -97.1739447175518, -97.16471240886, -97.1804218802103, -97.1712043874738, -97.1757275017649, -97.216369117606, -97.2294364275331, -96.406915201214, 
-96.4079141903104, -96.3913268477078, -96.3924773636196, -97.1555374990438, -97.1604356745804, 48.545077900805, 48.5495370371073, 48.5622632692388, 48.5728564182425, 48.5836407241517, 48.5869058291492, 48.6140246221446, 48.6207686792143, 48.6297943415928, 48.6299465936647, 48.6745288909816, 48.6952430987776, 48.7085830533643, 48.7262379218075, 48.7472187649945, 48.7556533950871, 48.7635421142122, 48.7811700963589, 48.8015144751175, 48.8103683034972, 48.8155375177681, 48.8359804796137, 48.8737577983105, 
48.9318299193001, 48.9999877687272, 48.9999820702829, 48.7231638701075, 48.7216646612062, 48.5475065777817, 48.5383982361563, 48.545077900805)))"
