subregion,region,FIPS,geometry
Ida,Iowa,19093,"list(list(c(-95.3340066100711, -95.6783209148738, -95.6796207300273, -95.7474020158917, -95.7479221284476, -95.3973116643001, -95.3942893130315, -95.3346031335852, -95.3340066100711, 42.211278932486, 42.2098700180255, 42.4761495670466, 42.4747272353399, 42.5635100342031, 42.563029033697, 42.4762074839627, 42.4775340818045, 42.211278932486)))"
Sac,Iowa,19161,"list(list(c(-94.8652994615021, -95.1011224832671, -95.3340066100711, -95.3346031335852, -95.3942893130315, -95.3973116643001, -94.9204914851153, -94.9195147199518, -94.8666109843684, -94.8652994615021, 42.2078925024281, 42.2088241980774, 42.211278932486, 42.4775340818045, 42.4762074839627, 42.563029033697, 42.5582824885838, 42.4741200919978, 42.4744936509261, 42.2078925024281)))"
Calhoun,Iowa,19025,"list(list(c(-94.6432234186615, -94.8652994615021, -94.8666109843684, -94.9195147199518, -94.9204914851153, -94.4537797763413, -94.453703261775, -94.4126249896855, -94.4082297277637, -94.6432234186615, 42.2078036066965, 42.2078925024281, 42.4744936509261, 42.4741200919978, 42.5582824885838, 42.561422486826, 42.4731477301776, 42.4733371775498, 42.2087353023457, 42.2078036066965)))"
Hamilton,Iowa,19079,"list(list(c(-93.4718450877135, -93.7055798368449, -93.9399870024082, -93.9350637019125, -93.9761651822118, -93.9773474539997, -93.4997958017781, -93.4979046953186, -93.4705297831523, -93.4718450877135, 42.2067457164072, 42.2070932697077, 42.2079018789593, 42.4714068554324, 42.4718179722893, 42.5577588533532, 42.5533110621355, 42.4664983190879, 42.4664260006489, 42.2067457164072)))"
Hampshire,Massachusetts,25015,"list(list(c(-72.2110027770786, -72.242100793755, -72.2592672537145, -72.2763881261192, -72.3305353658652, -72.3542708888491, -72.3902215971155, -72.4010634573125, -72.6015388216343, -72.615958786835, -72.5996771916732, -72.6087487524306, -72.6376497079906, -72.6557929331136, -72.6882645338956, -72.6856552162333, -72.7776303354186, -72.7786297907514, -72.7921953001257, -72.7913331254974, -72.8074316969879, -72.8097892470185, -72.8519583567665, -72.8677366238812, -72.9077083098844, -72.8819121776239, 
-72.883315290032, -72.8956141906422, -72.9520735482761, -72.9953264503331, -73.0251962450385, -73.0547070377507, -73.0652199941014, -73.0607184302907, -73.0061595556474, -72.9700475296023, -72.8775076945831, -72.8783697137993, -72.8610808926987, -72.8623169370796, -72.7570053859824, -72.7584856346052, -72.695587604714, -72.6989449209017, -72.4884610161612, -72.4808619334207, -72.3775121494928, -72.3520671450116, -72.351479220968, -72.3252106876719, -72.3058318844044, -72.2840876050882, -72.2693237128697, 
-72.2200368317115, -72.2110027770786, 42.2477846174268, 42.2436686828857, 42.2261823329827, 42.2354976835497, 42.2257550014614, 42.1915299893567, 42.190168112964, 42.2302790482252, 42.2135127226664, 42.2359273462528, 42.2752830304231, 42.2867344687522, 42.2675084355969, 42.2268100425285, 42.2135120492138, 42.1875917944748, 42.203936797781, 42.2180279109394, 42.2213351326209, 42.2354110153918, 42.2360136517825, 42.2433033607996, 42.2414111146512, 42.2238333824226, 42.2428031927988, 42.2671139996407, 
42.3343661590463, 42.3412858836138, 42.3422088243803, 42.3121110919014, 42.3055230685984, 42.3248212647806, 42.3735151450993, 42.3848408550247, 42.3789856516636, 42.5536547301331, 42.5406164304681, 42.5256286929951, 42.5172975155693, 42.4800436766909, 42.4577205908421, 42.4445600854481, 42.4512132782326, 42.4044457829243, 42.4289794507438, 42.4070758222024, 42.41673090366, 42.3632497602531, 42.3096197838409, 42.3183706257902, 42.3499291285732, 42.3505548177615, 42.2953761077864, 42.3065224721272, 
42.2477846174268)))"
Hardin,Iowa,19083,"list(list(c(-93.4718450877135, -93.4705297831523, -93.4979046953186, -93.4997958017781, -93.0306636010656, -93.0316639888711, -93.0086305142296, -93.0076630737931, -93.2425292749498, -93.4718450877135, 42.2067457164072, 42.4664260006489, 42.4664983190879, 42.5533110621355, 42.551881218843, 42.4613605498689, 42.4610743843551, 42.2078747854466, 42.2072076012228, 42.2067457164072)))"
Grundy,Iowa,19075,"list(list(c(-92.778345292476, -93.0076630737931, -93.0086305142296, -93.0316639888711, -93.0306636010656, -92.5605009662046, -92.5601054423635, -92.5420308575928, -92.5441690693205, -92.779291234236, -92.778345292476, 42.2075170785544, 42.2078747854466, 42.4610743843551, 42.4613605498689, 42.551881218843, 42.5528809850001, 42.473319046136, 42.4723847084807, 42.2941345203732, 42.2934035135728, 42.2075170785544)))"
Dakota,Nebraska,31043,"list(list(c(-96.7272217528055, -96.7196438579171, -96.6292945049014, -96.6054672887677, -96.5847530291676, -96.5472155631733, -96.4947014975746, -96.439394728014, -96.3960742216856, -96.397890264092, -96.417628328373, -96.411761469103, -96.4241751674646, -96.389780859759, -96.3687003456001, -96.3428815749743, -96.7272217528055, 42.2765674597768, 42.5224086057079, 42.5226936833369, 42.5072362904424, 42.5182872317426, 42.5204993160305, 42.488459242897, 42.489240862244, 42.4674012634953, 42.4417930762898, 
42.414777476941, 42.3809179941385, 42.3492788842702, 42.3287896614174, 42.2980237086338, 42.2820816889504, 42.2765674597768)))"
Delaware,New York,36025,"list(list(c(-75.1482805715236, -75.1712837926061, -75.2545154778197, -75.283690010512, -75.3240658198268, -75.3456570700105, -75.3828132064704, -75.4060073772423, -75.4272488465517, -75.4213835414029, -75.4103511977529, -75.342569238436, -75.306114580474, -75.2534615764415, -75.2187922410905, -75.1917066544844, -75.1901885889128, -75.1377647659508, -75.0824338039038, -75.0222507719153, -75.0120038293071, -74.998270474845, -74.9890843235524, -74.9809740385507, -74.964554748252, -74.9378815736038, 
-74.93399067581, -74.8350566682035, -74.7708765919444, -74.7181479540143, -74.619056513932, -74.439640424113, -74.4240609290976, -74.531533848328, -74.4483714769192, -74.5069900269168, -74.5354329829641, -74.5649212927232, -74.7890089900231, -75.1482805715236, 41.8557893566884, 41.8678398569294, 41.8688733475162, 41.9476038315473, 41.9612749693581, 41.9928449726378, 41.9983566116093, 42.0153620128102, 42.0573725503934, 42.1941662969235, 42.3219524606848, 42.3140379431481, 42.3221329459582, 42.361275145682, 
42.3666043826307, 42.3800281043491, 42.3636863646975, 42.384602142011, 42.4205207317729, 42.4260065205288, 42.4478985449654, 42.4434622542444, 42.4530711783029, 42.4513125865762, 42.4773432875273, 42.4816269635481, 42.4698398350435, 42.5150461638195, 42.5054442851103, 42.5198330124753, 42.430369508534, 42.3561385161519, 42.3466479125195, 42.1977003684937, 42.1693999253588, 42.1437427833361, 42.141362284116, 42.1153463991202, 42.0215160736748, 41.8557893566884)))"
Jo Daviess,Illinois,17085,"list(list(c(-90.323729981371, -90.3678582680863, -90.4073017601035, -90.4181124342688, -90.4278091143701, -90.4417250780712, -90.4911711530425, -90.5637116760098, -90.6059553835745, -90.6484737561563, -90.6518990910477, -90.6384560982267, -90.420102900876, -89.9236914182539, -89.9224479140913, -90.323729981371, 42.1973374293934, 42.210226688837, 42.2426617677712, 42.2639391372799, 42.3406449640379, 42.360083652775, 42.388791482876, 42.421843703332, 42.460564580803, 42.4756470160601, 42.494700593568, 
42.5093636751259, 42.5083649450496, 42.5041158741271, 42.197457770177, 42.1973374293934)))"
Columbia,New York,36021,"list(list(c(-73.4842302843442, -73.5268568755644, -73.53224506551, -73.7321778861267, -73.9025239175054, -73.9365293840911, -73.9185375821753, -73.9017898024626, -73.8639766871745, -73.8378593180655, -73.8068139342931, -73.7806742894471, -73.7927891821092, -73.7752251261471, -73.7795280732706, -73.3508242111689, -73.4988400077414, -73.4842302843442, 42.0474280397675, 42.0489537723369, 41.9826704520767, 42.0068513861917, 42.0797566095966, 42.0779599419009, 42.1310863312458, 42.1633275076604, 42.189186840849, 
42.2400281022104, 42.2608825435412, 42.2958204310326, 42.3907925693112, 42.4452880876143, 42.4602909000627, 42.5047557576222, 42.0774607063729, 42.0474280397675)))"
Oneida,Idaho,16071,"list(list(c(-112.989575443914, -112.995772502131, -112.769059479721, -112.767426823614, -112.644367985667, -112.643674640403, -112.491149664826, -112.488892044788, -112.414693740754, -112.385968090064, -112.33362824145, -112.317583079924, -112.303720111755, -112.288811686267, -112.283447637003, -112.312050926553, -112.319237804552, -112.272017904567, -112.249686219248, -112.18081326686, -112.177242466226, -112.15612351347, -112.15252981545, -112.116510156007, -112.083733066805, -112.064124564426, 
-112.068266452791, -112.103690935625, -112.100514467339, -112.147116500545, -112.989575443914, 42.0011467771733, 42.3243057109801, 42.325294753701, 42.3316041748799, 42.3329893630903, 42.4134709272624, 42.4159967886172, 42.498709863592, 42.5002056534266, 42.501464646997, 42.4463661296749, 42.4444245660809, 42.4562042866079, 42.446568579861, 42.3881472478416, 42.3605213451042, 42.3275780167391, 42.3185833331762, 42.3546166688854, 42.3529844272109, 42.3328316715943, 42.3238597300046, 42.3041646630764, 
42.2864343679517, 42.266998839261, 42.2371416329371, 42.1699810112692, 42.168596133883, 42.0023006085436, 41.9990540493922, 42.0011467771733)))"
Greene,New York,36039,"list(list(c(-73.7795280732706, -73.7752251261471, -73.7927891821092, -73.7806742894471, -73.8068139342931, -73.8378593180655, -73.8639766871745, -73.9017898024626, -73.9185375821753, -73.9977249778343, -74.0125804077906, -74.040436268659, -74.0744049025726, -74.2946122182987, -74.4483714769192, -74.531533848328, -74.4240609290976, -74.439640424113, -74.3702030149119, -74.3403180934269, -74.2695914370964, -74.2435665381977, -74.2505091083465, -73.7795280732706, 42.4602909000627, 42.4452880876143, 
42.3907925693112, 42.2958204310326, 42.2608825435412, 42.2400281022104, 42.189186840849, 42.1633275076604, 42.1310863312458, 42.1774418808325, 42.1574608038025, 42.1656278660315, 42.0965715791485, 42.1126119228987, 42.1693999253588, 42.1977003684937, 42.3466479125195, 42.3561385161519, 42.371347146049, 42.3537086994863, 42.3611433044016, 42.3743684094328, 42.4052547548041, 42.4602909000627)))"
Suffolk,Massachusetts,25025,"list(list(c(-71.1899661922697, -71.1643995000999, -71.1590816082358, -71.1279071806012, -71.0997695575623, -71.1172642479156, -71.1526958797068, -71.1760502285686, -71.1362239047, -71.1169132755484, -71.0666037308478, -71.0837018612792, -71.0731045161483, -71.0520849753439, -71.0267095954916, -71.0117403520607, -71.0068572514996, -70.9606219908924, -71.0341619691925, -71.0440268570099, -71.0984259161915, -71.1181023336655, -71.1362684043699, -71.1899661922697, 42.2805812367522, 42.2991128885629, 
42.2926318406014, 42.3114915673938, 42.3505955875405, 42.351881001171, 42.3274900534801, 42.3484513665443, 42.3657623597737, 42.3521518326891, 42.3523886289534, 42.3741395909907, 42.3898102093114, 42.3875138916554, 42.4433068939301, 42.4443255167575, 42.4278500708801, 42.4323935441587, 42.2856288151385, 42.2700650167471, 42.25947528681, 42.2335545658346, 42.2289577861994, 42.2805812367522)))"
Carbon,Wyoming,56007,"list(list(c(-107.304051033582, -107.918671356371, -107.916123892732, -107.936365492276, -107.935954012791, -107.524530009691, -107.526398995825, -107.509834861432, -107.50651121787, -107.524479189928, -107.524313157982, -107.524184217727, -106.082280893119, -106.071905735513, -106.324188713748, -106.32912569051, -106.86543876827, -107.304051033582, 41.0001333342744, 41.0033751274541, 41.4066566752438, 41.4069504041474, 41.6627282382945, 41.663305594314, 41.7005062822479, 41.7014104181481, 42.090461033677, 
42.0908805945924, 42.2590661903105, 42.4404705709671, 42.4347605743285, 41.3997933134713, 41.3986469418827, 41.001288978786, 40.9984573699906, 41.0001333342744)))"
Pierce,Nebraska,31139,"list(list(c(-97.8351557284625, -97.8351750513692, -97.4848812653147, -97.3692695170568, -97.3679790266305, -97.3658917900776, -97.8351557284625, 42.0839829385458, 42.4372179507431, 42.4400466067084, 42.4386954019478, 42.3454226433788, 42.0880053667957, 42.0839829385458)))"
Box Butte,Nebraska,31013,"list(list(c(-103.361520878907, -103.403545092757, -103.404055258937, -103.446209138297, -103.439771502121, -102.772507137398, -102.752579677549, -102.745052447011, -102.706660836015, -102.703990234174, -103.361520878907, 41.9921105467707, 41.9933120378573, 42.0800686253261, 42.0839786906145, 42.431219509213, 42.4390080393258, 42.4369290396152, 42.0858200651962, 42.0825516447402, 41.9994577064675, 41.9921105467707)))"
Antelope,Nebraska,31003,"list(list(c(-97.8358017248342, -98.2897390755241, -98.2906031150979, -98.297275423573, -97.8351750513692, -97.8351557284625, -97.8358017248342, 41.9185716045514, 41.912038079098, 42.0815462319429, 42.4348825728414, 42.4372179507431, 42.0839829385458, 41.9185716045514)))"
Albany,Wyoming,56001,"list(list(c(-106.203471470187, -106.32912569051, -106.324188713748, -106.071905735513, -106.082280893119, -105.555800118435, -105.555220431234, -105.576308975019, -105.577552738202, -105.611688077514, -105.61200889993, -105.595856814867, -105.594346209077, -105.523534904946, -105.380287307575, -105.380271869972, -105.362929535298, -105.364645906733, -105.353476023358, -105.345571400393, -105.332532271863, -105.332043915184, -105.288547016101, -105.286114091193, -105.276210764778, -105.281099771, 
-105.278797599487, -106.203471470187, 41.0000850011056, 41.001288978786, 41.3986469418827, 41.3997933134713, 42.4347605743285, 42.431680616968, 42.40578268977, 42.4041651604427, 42.3768863447695, 42.3760126178404, 42.3096714324682, 42.3085080173506, 42.2967091811331, 42.2921089306273, 42.2928039854244, 42.3232451786848, 42.3247940158558, 42.3806638953251, 42.3812323410498, 42.421755791877, 42.4223471349872, 42.4291677584272, 42.4291527352557, 42.0961576130694, 42.0958029108114, 41.6548130991093, 
40.9963491528018, 41.0000850011056)))"
Franklin,Idaho,16041,"list(list(c(-111.494586292523, -112.100514467339, -112.103690935625, -112.068266452791, -112.064124564426, -112.083733066805, -112.116510156007, -111.981884874764, -111.980137524514, -111.887650374203, -111.884325072912, -111.86937095626, -111.723064123145, -111.720271781811, -111.705973556103, -111.703661593627, -111.584957299627, -111.592640149499, -111.560708813045, -111.553811001586, -111.584215362174, -111.569282796003, -111.603723468324, -111.618563305265, -111.612375312754, -111.582390046845, 
-111.591301481316, -111.510753711582, -111.494586292523, 42.0001709444824, 42.0023006085436, 42.168596133883, 42.1699810112692, 42.2371416329371, 42.266998839261, 42.2864343679517, 42.2849322062203, 42.2575657899164, 42.2575893607544, 42.4126097369109, 42.4129302485029, 42.4143427892461, 42.4265154434122, 42.4263897150085, 42.4158269231719, 42.4141192030119, 42.3953242312688, 42.3662263167509, 42.34318579676, 42.3198816978165, 42.2723930902792, 42.2447059551672, 42.2052892976425, 42.1649954941221, 
42.1359894281661, 42.0931434468389, 42.0619980812705, 42.0001709444824)))"
Jackson,Iowa,19097,"list(list(c(-90.8989100757973, -90.8935837916788, -90.6659095971208, -90.6649622048476, -90.4911711530425, -90.4417250780712, -90.4278091143701, -90.4181124342688, -90.4073017601035, -90.3678582680863, -90.323729981371, -90.2310631228472, -90.1917024136851, -90.1762144564073, -90.1667767446992, -90.1682262735266, -90.1506630464291, -90.8989100757973, 42.0356878457226, 42.295581821627, 42.2919277200974, 42.3837129774781, 42.388791482876, 42.360083652775, 42.3406449640379, 42.2639391372799, 42.2426617677712, 
42.210226688837, 42.1973374293934, 42.1597414766386, 42.1227099288935, 42.1205242128617, 42.1037669012057, 42.0610667482495, 42.0334532266776, 42.0356878457226)))"
Wayne,Nebraska,31179,"list(list(c(-96.8239018702643, -97.0222249839638, -97.3658917900776, -97.3679790266305, -97.0199924888843, -97.0179402718621, -96.8258419315411, -96.8239018702643, 42.0940861767485, 42.0906526568189, 42.0880053667957, 42.3454226433788, 42.3470628110713, 42.263304693209, 42.259242893889, 42.0940861767485)))"
Hampden,Massachusetts,25013,"list(list(c(-72.2110027770786, -72.245869641232, -72.2621433621798, -72.1950031513034, -72.1366371978021, -72.136346732553, -72.5075717853287, -72.5712258951755, -72.5819073700664, -72.6078252936236, -72.6095266936908, -72.7558938267083, -72.7675750159522, -72.8176795720688, -72.8164509874696, -73.0060955258547, -73.045632472359, -73.044197863095, -73.0702142143271, -73.0575333107302, -73.0669857865896, -73.0384586489781, -73.0256258559376, -72.9953264503331, -72.9520735482761, -72.8956141906422, 
-72.883315290032, -72.8819121776239, -72.9077083098844, -72.8677366238812, -72.8519583567665, -72.8097892470185, -72.8074316969879, -72.7913331254974, -72.7921953001257, -72.7786297907514, -72.7776303354186, -72.6856552162333, -72.6882645338956, -72.6557929331136, -72.6376497079906, -72.6087487524306, -72.5996771916732, -72.615958786835, -72.6015388216343, -72.4010634573125, -72.3902215971155, -72.3542708888491, -72.3305353658652, -72.2763881261192, -72.2592672537145, -72.242100793755, -72.2110027770786, 
42.2477846174268, 42.2169127771865, 42.1853312734101, 42.1476159123444, 42.1545089578315, 42.0264020752621, 42.03076599574, 42.030124972556, 42.0216068861559, 42.0228008138527, 42.0305368664736, 42.0338475072217, 42.002167161338, 41.9971850632575, 42.033507724527, 42.0360091861792, 42.0363103748645, 42.0508326012391, 42.092804596617, 42.1158792036658, 42.1491082313084, 42.1538956498087, 42.1419865227912, 42.3121110919014, 42.3422088243803, 42.3412858836138, 42.3343661590463, 42.2671139996407, 42.2428031927988, 
42.2238333824226, 42.2414111146512, 42.2433033607996, 42.2360136517825, 42.2354110153918, 42.2213351326209, 42.2180279109394, 42.203936797781, 42.1875917944748, 42.2135120492138, 42.2268100425285, 42.2675084355969, 42.2867344687522, 42.2752830304231, 42.2359273462528, 42.2135127226664, 42.2302790482252, 42.190168112964, 42.1915299893567, 42.2257550014614, 42.2354976835497, 42.2261823329827, 42.2436686828857, 42.2477846174268)))"
Jones,Iowa,19105,"list(list(c(-90.9008728272434, -91.3710332345306, -91.368021399482, -91.1342615771954, -90.8935837916788, -90.8989100757973, -90.9008728272434, 41.9484713419917, 41.9443171760695, 42.2941500615851, 42.2973112994835, 42.295581821627, 42.0356878457226, 41.9484713419917)))"
Benton,Iowa,19011,"list(list(c(-91.8346894892548, -92.3014849651606, -92.3059266435017, -92.0696307544647, -91.8369977736439, -91.8346894892548, 41.8568205160933, 41.8602310350295, 42.2940579021989, 42.2957757759506, 42.2956335738623, 41.8568205160933)))"
Linn,Iowa,19113,"list(list(c(-91.8346894892548, -91.8369977736439, -91.6000271369932, -91.368021399482, -91.3710332345306, -91.3697884352671, -91.8346894892548, 41.8568205160933, 42.2956335738623, 42.2951415390958, 42.2941500615851, 41.9443171760695, 41.8516895850075, 41.8568205160933)))"
Tama,Iowa,19171,"list(list(c(-92.3014849651606, -92.7695957974317, -92.778345292476, -92.779291234236, -92.5441690693205, -92.3059266435017, -92.3014849651606, 41.8602310350295, 41.8628377106857, 42.2075170785544, 42.2934035135728, 42.2941345203732, 42.2940579021989, 41.8602310350295)))"
Thurston,Nebraska,31173,"list(list(c(-96.2654831282091, -96.3016096593853, -96.3059658092573, -96.54884796026, -96.5498333766981, -96.8239018702643, -96.8258419315411, -96.729548893865, -96.7272217528055, -96.3428815749743, -96.3326578405758, -96.3377084235964, -96.3635118602265, -96.3521657395096, -96.2851229720314, -96.2654831282091, 42.0488969433056, 42.0486535161243, 42.023354236406, 42.0178929509608, 42.0911544825489, 42.0940861767485, 42.259242893889, 42.2607365597581, 42.2765674597768, 42.2820816889504, 42.2603071560752, 
42.2295222948172, 42.2140424707736, 42.1681854314583, 42.1234526952109, 42.0488969433056)))"
Sweetwater,Wyoming,56037,"list(list(c(-110.053393460315, -110.054587854248, -109.046542531036, -107.524313157982, -107.524479189928, -107.50651121787, -107.509834861432, -107.526398995825, -107.524530009691, -107.935954012791, -107.936365492276, -107.916123892732, -107.918671356371, -109.048314695421, -110.002165481799, -110.063185718869, -110.065966197077, -110.051378386789, -110.053393460315, 41.5822223262238, 42.2665116740742, 42.2628453985953, 42.2590661903105, 42.0908805945924, 42.090461033677, 41.7014104181481, 41.7005062822479, 
41.663305594314, 41.6627282382945, 41.4069504041474, 41.4066566752438, 41.0033751274541, 40.9984333847203, 40.9975994950975, 40.9978919289002, 41.4074371030979, 41.4090318904519, 41.5822223262238)))"
Plymouth,Massachusetts,25023,"list(list(c(-70.924533224861, -71.0223136601173, -71.0097554802898, -71.0316603003242, -70.9737444203175, -71.0026609688933, -71.0438307787206, -71.0781740076433, -70.9238664032654, -70.9111948761996, -70.9232041404253, -70.8926710467989, -70.8246608906882, -70.8421935534024, -70.8383709333326, -70.8492505586743, -70.8194948364637, -70.7915097763209, -70.7873900600849, -70.8246608906882, -70.7745954984255, -70.6860372700732, -70.6187030012651, -70.5403385127725, -70.5377047954076, -70.6245983527567, 
-70.6197608915543, -70.8394306885673, -70.8882468264191, -70.9025979958555, -70.924533224861, 41.7879061722784, 41.7770301214153, 41.7971792507492, 41.8181255406419, 41.8608463116058, 41.9342098453476, 41.9533325812482, 42.0917860255936, 42.1540998095281, 42.2165194291151, 42.2345170330833, 42.2657668873992, 42.2605069124512, 42.2484907064843, 42.2370352792442, 42.2295699027294, 42.2024820885496, 42.2181567993895, 42.2341479293023, 42.2605069124512, 42.2486399539219, 42.1531666115617, 41.9681898243458, 
41.9309515266793, 41.8057619885906, 41.7613162985256, 41.7356362073135, 41.626691949755, 41.7588728055936, 41.7546766265954, 41.7879061722784)))"
Norfolk,Massachusetts,25021,"list(list(c(-71.1526958797068, -71.1172642479156, -71.0997695575623, -71.1279071806012, -71.1590816082358, -71.1643995000999, -71.1808108125765, -71.1526958797068, 42.3274900534801, 42.351881001171, 42.3505955875405, 42.3114915673938, 42.2926318406014, 42.2991128885629, 42.3076499352414, 42.3274900534801)), list(c(-71.0781740076433, -71.3551521268885, -71.3824052995621, -71.3786442226911, -71.4974303670734, -71.4987512146669, -71.4776249057371, -71.4761373009407, -71.4368143569233, -71.3996809106326, 
-71.3937374849924, -71.343809218022, -71.3497375686868, -71.3321440362263, -71.3084845615722, -71.3272308893223, -71.2388264671631, -71.2231552271939, -71.2129161587997, -71.1899661922697, -71.1362684043699, -71.1181023336655, -71.0984259161915, -71.0440268570099, -71.0341619691925, -70.9232041404253, -70.9111948761996, -70.9238664032654, -71.0781740076433, 42.0917860255936, 41.9814337342433, 41.979263093187, 42.0137132974511, 42.0092534876963, 42.1105935339143, 42.1301781028264, 42.1542256933439, 
42.1798109313599, 42.1790712214808, 42.1889474543828, 42.1988393321047, 42.2057743388637, 42.2444972366924, 42.2471906841147, 42.3080226135011, 42.3311707304819, 42.3194713062161, 42.2960761357712, 42.2805812367522, 42.2289577861994, 42.2335545658346, 42.25947528681, 42.2700650167471, 42.2856288151385, 42.2345170330833, 42.2165194291151, 42.1540998095281, 42.0917860255936)), list(c(-70.8246608906882, -70.7873900600849, -70.7915097763209, -70.8194948364637, -70.8492505586743, -70.8383709333326, -70.8421935534024, 
-70.8246608906882, 42.2605069124512, 42.2341479293023, 42.2181567993895, 42.2024820885496, 42.2295699027294, 42.2370352792442, 42.2484907064843, 42.2605069124512)))"
Monona,Iowa,19133,"list(list(c(-95.6771784285881, -96.1356235595735, -96.1599702148106, -96.1458707612019, -96.1473284232635, -96.1852176904895, -96.2028425125899, -96.2360928834967, -96.2387254611727, -96.2654831282091, -96.2851229720314, -96.3521657395096, -96.3635118602265, -95.6783209148738, -95.6771784285881, 41.8613013064842, 41.8626208071726, 41.9041513803305, 41.9249070831621, 41.9662544772366, 41.9806854766977, 41.9966156332561, 42.001258104054, 42.028438181228, 42.0488969433056, 42.1234526952109, 42.1681854314583, 
42.2140424707736, 42.2098700180255, 41.8613013064842)))"
Crawford,Iowa,19047,"list(list(c(-95.6771784285881, -95.6783209148738, -95.3340066100711, -95.1011224832671, -95.0973847182139, -95.5603850819948, -95.6771784285881, 41.8613013064842, 42.2098700180255, 42.211278932486, 42.2088241980774, 41.8614098877508, 41.8604771560208, 41.8613013064842)))"
Carroll,Iowa,19027,"list(list(c(-95.0973847182139, -95.1011224832671, -94.8652994615021, -94.6432234186615, -94.636897368386, -94.7515942055034, -95.0973847182139, 41.8614098877508, 42.2088241980774, 42.2078925024281, 42.2078036066965, 41.8614894069514, 41.8600515858369, 41.8614098877508)))"
Greene,Iowa,19073,"list(list(c(-94.2892816439541, -94.636897368386, -94.6432234186615, -94.4082297277637, -94.1725483900465, -94.1682750230295, -94.2892816439541, 41.8589593494694, 41.8614894069514, 42.2078036066965, 42.2087353023457, 42.208358635175, 41.857944611945, 41.8589593494694)))"
Boone,Iowa,19015,"list(list(c(-93.7033312307093, -93.8198285172172, -94.1682750230295, -94.1725483900465, -93.9399870024082, -93.7055798368449, -93.7033312307093, 41.8616735185075, 41.8600935471088, 41.857944611945, 42.208358635175, 42.2079018789593, 42.2070932697077, 41.8616735185075)))"
Marshall,Iowa,19127,"list(list(c(-92.7695957974317, -93.2321683116509, -93.2425292749498, -93.0076630737931, -92.778345292476, -92.7695957974317, 41.8628377106857, 41.8634524174176, 42.2072076012228, 42.2078747854466, 42.2075170785544, 41.8628377106857)))"
Story,Iowa,19169,"list(list(c(-93.3499627195023, -93.7033312307093, -93.7055798368449, -93.4718450877135, -93.2425292749498, -93.2321683116509, -93.3499627195023, 41.8631699817946, 41.8616735185075, 42.2070932697077, 42.2067457164072, 42.2072076012228, 41.8634524174176, 41.8631699817946)))"
Ulster,New York,36111,"list(list(c(-74.3704100238535, -74.3952367989281, -74.5767142232802, -74.4557070843152, -74.7890089900231, -74.5649212927232, -74.5354329829641, -74.5069900269168, -74.4483714769192, -74.2946122182987, -74.0744049025726, -74.040436268659, -74.0125804077906, -73.9977249778343, -73.9185375821753, -73.9365293840911, -73.9607328011592, -73.9410408942773, -73.9497315917368, -73.9405303654687, -73.9553855364047, -74.051153281121, -74.0818703826955, -74.1304028416273, -74.1291134908898, -74.1923712998349, 
-74.253202762985, -74.2563689740712, -74.3446445595843, -74.3704100238535, 41.5943319348739, 41.641920213383, 41.7451940525891, 41.8719076655179, 42.0215160736748, 42.1153463991202, 42.141362284116, 42.1437427833361, 42.1693999253588, 42.1126119228987, 42.0965715791485, 42.1656278660315, 42.1574608038025, 42.1774418808325, 42.1310863312458, 42.0779599419009, 41.9122094468604, 41.8622563139511, 41.7705438930499, 41.7287731563652, 41.5875951303697, 41.5830518643073, 41.6089116637323, 41.6165868466068, 
41.5866300729191, 41.5947210350141, 41.6082326681874, 41.6359196996913, 41.5980321938026, 41.5943319348739)))"
Cuming,Nebraska,31039,"list(list(c(-96.552184710244, -96.9027470484388, -97.0184259865359, -97.0222249839638, -96.8239018702643, -96.5498333766981, -96.54884796026, -96.552184710244, 41.7438465259153, 41.7432213029634, 41.7450315951214, 42.0906526568189, 42.0940861767485, 42.0911544825489, 42.0178929509608, 41.7438465259153)))"
Bristol,Massachusetts,25005,"list(list(c(-71.1988086755648, -71.2289761362808, -71.2666286072426, -71.3193277686743, -71.3397986010931, -71.3454831619483, -71.3345427186642, -71.3424931364002, -71.3330859372712, -71.3839531524564, -71.3824052995621, -71.3551521268885, -71.0781740076433, -71.0438307787206, -71.0026609688933, -70.9737444203175, -71.0316603003242, -71.0097554802898, -71.0223136601173, -70.924533224861, -70.9025979958555, -70.8882468264191, -70.8394306885673, -70.8921284512898, -71.0011847609856, -71.1171327174595, 
-71.1412126336976, -71.1988086755648, 41.6785003407285, 41.7076939891113, 41.7497430688999, 41.7721958720634, 41.7844255624769, 41.8131613667591, 41.8579035831458, 41.8757828666878, 41.8960311489532, 41.8884397332105, 41.979263093187, 41.9814337342433, 42.0917860255936, 41.9533325812482, 41.9342098453476, 41.8608463116058, 41.8181255406419, 41.7971792507492, 41.7770301214153, 41.7879061722784, 41.7546766265954, 41.7588728055936, 41.626691949755, 41.6339126039875, 41.5201240988974, 41.4930619795212, 
41.6552730671755, 41.6785003407285)))"
Stanton,Nebraska,31167,"list(list(c(-97.2472053684712, -97.3628624452636, -97.3658917900776, -97.0222249839638, -97.0184259865359, -97.2472053684712, 41.7405255243593, 41.7424781222137, 42.0880053667957, 42.0906526568189, 41.7450315951214, 41.7405255243593)))"
