State,FIPS,Value (Dollars),Rank within US
"Lewis County, Idaho",16061,41198,2625 of 3146
"Santa Cruz County, Arizona",4023,41259,2624 of 3146
"Blaine County, Montana",30005,41279,2623 of 3146
"Talladega County, Alabama",1121,41325,2622 of 3146
"Scioto County, Ohio",39145,41330,2621 of 3146
"Johnston County, Oklahoma",40069,41332,2620 of 3146
"Morgan County, Tennessee",47129,41333,2619 of 3146
"Bibb County, Georgia",13021,41334,2618 of 3146
"Washington County, Maine",23029,41347,2617 of 3146
"Trinity County, Texas",48455,41357,2616 of 3146
"Morris County, Texas",48343,41359,2615 of 3146
"Washington County, Alabama",1129,41370,2614 of 3146
"Fayette County, West Virginia",54019,41394,2613 of 3146
"Gadsden County, Florida",12039,41401,2612 of 3146
"Yukon-Koyukuk Census Area, Alaska",2290,41413,2611 of 3146
"Wayne County, Tennessee",47181,41427,2610 of 3146
"Cherokee County, North Carolina",37039,41438,2609 of 3146
"Barren County, Kentucky",21009,41459,2608 of 3146
"Yalobusha County, Mississippi",28161,41464,2607 of 3146
"Braxton County, West Virginia",54007,41466,2605 of 3146
"Logan County, Arkansas",5083,41466,2605 of 3146
"Pointe Coupee Parish, Louisiana",22077,41480,2604 of 3146
"Decatur County, Georgia",13087,41481,2603 of 3146
"Washington County, Missouri",29221,41483,2602 of 3146
"Greer County, Oklahoma",40055,41488,2601 of 3146
"Chesterfield County, South Carolina",45025,41505,2599 of 3146
"Jim Wells County, Texas",48249,41505,2599 of 3146
"Idaho County, Idaho",16049,41516,2598 of 3146
"Laurel County, Kentucky",21125,41526,2597 of 3146
"Ontonagon County, Michigan",26131,41546,2596 of 3146
"Iron County, Michigan",26071,41599,2595 of 3146
"Payne County, Oklahoma",40119,41603,2594 of 3146
"Orleans Parish, Louisiana",22071,41604,2593 of 3146
"San Jacinto County, Texas",48407,41614,2592 of 3146
"Clark County, Arkansas",5019,41620,2591 of 3146
"McDonald County, Missouri",29119,41643,2590 of 3146
"Crawford County, Indiana",18025,41662,2589 of 3146
"Uvalde County, Texas",48463,41679,2588 of 3146
"Madison County, Arkansas",5087,41682,2587 of 3146
"Delaware County, Oklahoma",40041,41696,2586 of 3146
"Mineral County, Montana",30061,41705,2585 of 3146
"Dundy County, Nebraska",31057,41716,2584 of 3146
"Kiowa County, Colorado",8061,41731,2583 of 3146
"Geneva County, Alabama",1061,41732,2582 of 3146
"Okeechobee County, Florida",12093,41760,2581 of 3146
"Butler County, Kentucky",21031,41763,2580 of 3146
"Duplin County, North Carolina",37061,41764,2579 of 3146
"Jackson County, Alabama",1071,41769,2578 of 3146
"Montmorency County, Michigan",26119,41772,2577 of 3146
"Jones County, Mississippi",28067,41775,2576 of 3146
"Caddo Parish, Louisiana",22017,41797,2575 of 3146
"Las Animas County, Colorado",8071,41817,2574 of 3146
"Deer Lodge County, Montana",30023,41820,2573 of 3146
"Cook County, Georgia",13075,41854,2572 of 3146
"Hardeman County, Texas",48197,41859,2571 of 3146
"Pocahontas County, West Virginia",54075,41882,2570 of 3146
"Unicoi County, Tennessee",47171,41890,2569 of 3146
"Robertson County, Kentucky",21201,41902,2568 of 3146
"Catron County, New Mexico",35003,41910,2567 of 3146
"Lawrence County, Mississippi",28077,41914,2566 of 3146
"Cherokee County, Alabama",1019,41919,2565 of 3146
"Hawkins County, Tennessee",47073,41924,2564 of 3146
"Adair County, Missouri",29001,41929,2562 of 3146
"Prowers County, Colorado",8099,41929,2562 of 3146
"Ferry County, Washington",53019,41939,2561 of 3146
"Charlton County, Georgia",13049,41961,2560 of 3146
"Greenwood County, Kansas",20073,41982,2559 of 3146
"Otero County, New Mexico",35035,41988,2558 of 3146
"Montgomery County, Georgia",13209,41996,2557 of 3146
"White County, Tennessee",47185,41998,2556 of 3146
"Garfield County, Montana",30033,42000,2555 of 3146
"Decatur County, Tennessee",47039,42031,2554 of 3146
"Roscommon County, Michigan",26143,42054,2553 of 3146
"Socorro County, New Mexico",35053,42083,2552 of 3146
"Alcorn County, Mississippi",28003,42086,2551 of 3146
"Tazewell County, Virginia",51185,42099,2550 of 3146
"Dent County, Missouri",29065,42100,2549 of 3146
"La Salle Parish, Louisiana",22059,42104,2548 of 3146
"Jefferson Davis Parish, Louisiana",22053,42105,2547 of 3146
"Webster County, Kentucky",21233,42119,2546 of 3146
"Butte County, Idaho",16023,42132,2545 of 3146
"Crowley County, Colorado",8025,42135,2544 of 3146
"Copiah County, Mississippi",28029,42151,2542 of 3146
"Sampson County, North Carolina",37163,42151,2542 of 3146
"Covington County, Alabama",1039,42189,2541 of 3146
"Rhea County, Tennessee",47143,42206,2540 of 3146
"Grant County, West Virginia",54023,42216,2539 of 3146
"Clay County, North Carolina",37043,42222,2537 of 3146
"Yancey County, North Carolina",37199,42222,2537 of 3146
"Marshall County, Mississippi",28093,42233,2536 of 3146
"Cleveland County, North Carolina",37045,42247,2535 of 3146
"Haakon County, South Dakota",46055,42250,2534 of 3146
"Baxter County, Arkansas",5005,42260,2533 of 3146
"Calloway County, Kentucky",21035,42273,2532 of 3146
"Mason County, Texas",48319,42276,2531 of 3146
"Tillman County, Oklahoma",40141,42280,2530 of 3146
"Chambers County, Alabama",1017,42289,2529 of 3146
"Arenac County, Michigan",26011,42290,2528 of 3146
"Chouteau County, Montana",30015,42298,2527 of 3146
"Pendleton County, West Virginia",54071,42312,2526 of 3146
"Wyoming County, West Virginia",54109,42332,2525 of 3146
"Oscoda County, Michigan",26135,42335,2524 of 3146
"Greenwood County, South Carolina",45047,42336,2523 of 3146
"Morgan County, Ohio",39115,42341,2522 of 3146
"Lincoln County, West Virginia",54043,42345,2521 of 3146
"Haskell County, Oklahoma",40061,42348,2520 of 3146
"Monroe County, Mississippi",28095,42354,2519 of 3146
"Monroe County, Tennessee",47123,42429,2518 of 3146
"Lowndes County, Georgia",13185,42441,2517 of 3146
"Chester County, South Carolina",45023,42442,2516 of 3146
"Russell County, Alabama",1113,42443,2515 of 3146
"Johnson County, Georgia",13167,42446,2514 of 3146
"Perry County, Mississippi",28111,42469,2513 of 3146
"Franklin County, Georgia",13119,42488,2512 of 3146
"Rabun County, Georgia",13241,42500,2511 of 3146
"Grant Parish, Louisiana",22043,42505,2510 of 3146
"Ashland County, Wisconsin",55003,42510,2509 of 3146
"Shelby County, Texas",48419,42522,2508 of 3146
"Hidalgo County, New Mexico",35023,42526,2507 of 3146
"Potter County, Texas",48375,42528,2506 of 3146
"Lauderdale County, Mississippi",28075,42534,2505 of 3146
"Dickens County, Texas",48125,42540,2504 of 3146
"Dade County, Georgia",13083,42581,2503 of 3146
"Greene County, Tennessee",47059,42595,2502 of 3146
"Lincoln County, Mississippi",28085,42606,2501 of 3146
"Evans County, Georgia",13109,42607,2500 of 3146
"Rutherford County, North Carolina",37161,42608,2499 of 3146
"Lexington City, Virginia",51678,42632,2498 of 3146
"Gilmer County, West Virginia",54021,42636,2497 of 3146
"Carroll County, Tennessee",47017,42637,2496 of 3146
"Prairie County, Arkansas",5117,42660,2495 of 3146
"Halifax County with South Boston City, Virginia",51083,42669,2494 of 3146
"Schuyler County, Missouri",29197,42694,2493 of 3146
"Roosevelt County, New Mexico",35041,42702,2492 of 3146
"Houston County, Tennessee",47083,42711,2491 of 3146
"Van Buren County, Tennessee",47175,42724,2490 of 3146
"Richmond County, Georgia",13245,42728,2489 of 3146
"Whitman County, Washington",53075,42745,2488 of 3146
"Macon County, Missouri",29121,42746,2487 of 3146
"Franklin County, Illinois",17055,42769,2486 of 3146
"Cherokee County, Oklahoma",40021,42774,2485 of 3146
"Conway County, Arkansas",5029,42802,2484 of 3146
"Pierce County, Georgia",13229,42804,2483 of 3146
"Arthur County, Nebraska",31005,42813,2481 of 3146
"Piute County, Utah",49031,42813,2481 of 3146
"Pike County, Ohio",39131,42832,2480 of 3146
"Putnam County, Missouri",29171,42849,2479 of 3146
"Hempstead County, Arkansas",5057,42860,2478 of 3146
"Izard County, Arkansas",5065,42876,2477 of 3146
"Harrison County, Missouri",29081,42917,2476 of 3146
"Lincoln County, Kentucky",21137,42919,2475 of 3146
"Hickman County, Kentucky",21105,42929,2474 of 3146
"Donley County, Texas",48129,42961,2473 of 3146
"Okmulgee County, Oklahoma",40111,42998,2472 of 3146
"Leon County, Texas",48289,43045,2471 of 3146
"Treasure County, Montana",30103,43047,2470 of 3146
"Patrick County, Virginia",51141,43073,2469 of 3146
"Muskogee County, Oklahoma",40101,43078,2468 of 3146
"Tyler County, West Virginia",54095,43087,2467 of 3146
"Brown County, Nebraska",31017,43098,2466 of 3146
"Smith County, Mississippi",28129,43105,2465 of 3146
"Wetzel County, West Virginia",54103,43107,2464 of 3146
"Nowata County, Oklahoma",40105,43145,2463 of 3146
"Sedgwick County, Colorado",8115,43150,2462 of 3146
"Rolette County, North Dakota",38079,43158,2461 of 3146
"Crenshaw County, Alabama",1041,43163,2460 of 3146
"Gibson County, Tennessee",47053,43171,2459 of 3146
"Cherokee County, Kansas",20021,43175,2458 of 3146
"Childress County, Texas",48075,43181,2457 of 3146
"Houghton County, Michigan",26061,43183,2456 of 3146
"Bradley County, Arkansas",5011,43184,2455 of 3146
"Roosevelt County, Montana",30085,43194,2454 of 3146
"Beaverhead County, Montana",30001,43201,2453 of 3146
"Hart County, Georgia",13147,43204,2452 of 3146
"Clarke County, Mississippi",28023,43207,2450 of 3146
"Mecklenburg County, Virginia",51117,43207,2450 of 3146
"Terrell County, Texas",48443,43208,2449 of 3146
"Dawson County, Texas",48115,43239,2448 of 3146
"Musselshell County, Montana",30065,43274,2447 of 3146
"Vernon County, Missouri",29217,43276,2446 of 3146
"McMinn County, Tennessee",47107,43285,2445 of 3146
"Laurens County, South Carolina",45059,43304,2444 of 3146
"Henderson County, Tennessee",47077,43305,2443 of 3146
"Polk County, Tennessee",47139,43306,2442 of 3146
"Malheur County, Oregon",41045,43313,2441 of 3146
"Randolph County, West Virginia",54083,43320,2440 of 3146
"Kimble County, Texas",48267,43328,2439 of 3146
"Craig County, Oklahoma",40035,43329,2438 of 3146
"Chaves County, New Mexico",35005,43359,2437 of 3146
"Alpena County, Michigan",26007,43363,2436 of 3146
"Miller County, Arkansas",5091,43371,2435 of 3146
"Lynn County, Texas",48305,43382,2434 of 3146
"Nuckolls County, Nebraska",31129,43388,2433 of 3146
"Randolph County, Alabama",1111,43395,2432 of 3146
"Acadia Parish, Louisiana",22001,43396,2431 of 3146
"Edmonson County, Kentucky",21061,43401,2430 of 3146
"Boundary County, Idaho",16021,43423,2429 of 3146
"Smith County, Kansas",20183,43429,2428 of 3146
"Gregory County, South Dakota",46053,43438,2427 of 3146
"Anderson County, Texas",48001,43455,2426 of 3146
"Pope County, Arkansas",5115,43462,2425 of 3146
"McDuffie County, Georgia",13189,43468,2424 of 3146
"Butts County, Georgia",13035,43471,2423 of 3146
"Blackford County, Indiana",18009,43505,2422 of 3146
"Delaware County, Indiana",18035,43512,2421 of 3146
"Franklin County, Alabama",1059,43514,2420 of 3146
"Carroll County, Kentucky",21041,43524,2418 of 3146
"Gila County, Arizona",4007,43524,2418 of 3146
"Grady County, Georgia",13131,43531,2417 of 3146
"Dallas County, Missouri",29059,43542,2416 of 3146
"Ritchie County, West Virginia",54085,43577,2415 of 3146
"Rockingham County, North Carolina",37157,43579,2414 of 3146
"Muhlenberg County, Kentucky",21177,43590,2413 of 3146
"Hickman County, Tennessee",47081,43596,2412 of 3146
"Surry County, North Carolina",37171,43597,2411 of 3146
"Lawrence County, Tennessee",47099,43614,2410 of 3146
"Hamblen County, Tennessee",47063,43619,2409 of 3146
"Foard County, Texas",48155,43625,2407 of 3146
"Prairie County, Montana",30079,43625,2407 of 3146
"Walker County, Alabama",1127,43629,2406 of 3146
"McCormick County, South Carolina",45065,43633,2405 of 3146
"Madison County, Missouri",29123,43636,2404 of 3146
"Gilchrist County, Florida",12041,43640,2403 of 3146
"McDowell County, North Carolina",37111,43646,2402 of 3146
"Judith Basin County, Montana",30045,43661,2401 of 3146
"Baldwin County, Georgia",13009,43672,2400 of 3146
"Iosco County, Michigan",26069,43678,2399 of 3146
"Kleberg County, Texas",48273,43730,2398 of 3146
"Thomas County, Georgia",13275,43740,2397 of 3146
"Walker County, Texas",48471,43742,2396 of 3146
"Raleigh County, West Virginia",54081,43748,2395 of 3146
"Garden County, Nebraska",31069,43750,2394 of 3146
"Assumption Parish, Louisiana",22007,43759,2393 of 3146
"Iron County, Wisconsin",55051,43798,2391 of 3146
"Owyhee County, Idaho",16073,43798,2391 of 3146
"Simpson County, Mississippi",28127,43850,2390 of 3146
"Motley County, Texas",48345,43859,2389 of 3146
"Golden Valley County, Montana",30037,43875,2388 of 3146
"Wilson County, North Carolina",37195,43877,2387 of 3146
"St. Helena Parish, Louisiana",22091,43886,2386 of 3146
"Hot Spring County, Arkansas",5059,43889,2385 of 3146
"St. Louis City, Missouri",29510,43896,2384 of 3146
"Clearwater County, Idaho",16035,43915,2383 of 3146
"Bourbon County, Kansas",20011,43917,2382 of 3146
"Christian County, Kentucky",21047,43919,2381 of 3146
"Yell County, Arkansas",5149,43923,2380 of 3146
"Monroe County, Missouri",29137,43966,2379 of 3146
"Todd County, Kentucky",21219,44005,2378 of 3146
"White County, Arkansas",5145,44029,2377 of 3146
"Osceola County, Michigan",26133,44032,2376 of 3146
"Allen County, Kentucky",21003,44036,2375 of 3146
"Graves County, Kentucky",21083,44043,2374 of 3146
"Grainger County, Tennessee",47057,44064,2373 of 3146
"Gallatin County, Illinois",17059,44076,2372 of 3146
"Shelby County, Missouri",29205,44083,2371 of 3146
"Saline County, Illinois",17165,44090,2370 of 3146
"Union Parish, Louisiana",22111,44100,2369 of 3146
"Wilkes County, North Carolina",37193,44107,2368 of 3146
"Bledsoe County, Tennessee",47007,44122,2367 of 3146
"Barton County, Missouri",29011,44125,2366 of 3146
"Knox County, Illinois",17095,44129,2365 of 3146
"Lake and Peninsula Borough, Alaska",2164,44135,2364 of 3146
"Scott County, Missouri",29201,44139,2363 of 3146
"Montgomery County, North Carolina",37123,44146,2362 of 3146
"Burke County, Georgia",13033,44151,2361 of 3146
"Phelps County, Missouri",29161,44154,2360 of 3146
"Bollinger County, Missouri",29017,44158,2359 of 3146
"Highland County, Ohio",39071,44169,2358 of 3146
"Dyer County, Tennessee",47045,44185,2357 of 3146
"Bryan County, Oklahoma",40013,44212,2356 of 3146
"Latimer County, Oklahoma",40077,44214,2355 of 3146
"Newberry County, South Carolina",45071,44226,2354 of 3146
"Roanoke City, Virginia",51770,44230,2353 of 3146
"Nodaway County, Missouri",29147,44232,2352 of 3146
"Citrus County, Florida",12017,44237,2351 of 3146
"Wayne County, Utah",49055,44245,2350 of 3146
"Somerset County, Maine",23025,44256,2349 of 3146
"Putnam County, Tennessee",47141,44259,2348 of 3146
"Audrain County, Missouri",29007,44261,2347 of 3146
"Union County, Florida",12125,44270,2346 of 3146
"Lunenburg County, Virginia",51111,44303,2345 of 3146
"Independence County, Arkansas",5063,44319,2344 of 3146
"Essex County, Vermont",50009,44349,2343 of 3146
"Grant County, Indiana",18053,44356,2342 of 3146
"Jasper County, Texas",48241,44370,2341 of 3146
"Barry County, Missouri",29009,44403,2340 of 3146
"Wayne County, North Carolina",37191,44416,2339 of 3146
"Limestone County, Texas",48293,44418,2338 of 3146
"Brunswick County, Virginia",51025,44434,2337 of 3146
"Crawford County, Missouri",29055,44438,2336 of 3146
"Schley County, Georgia",13249,44448,2335 of 3146
"Decatur County, Iowa",19053,44462,2334 of 3146
"McDonough County, Illinois",17109,44471,2333 of 3146
"Cleburne County, Arkansas",5023,44483,2332 of 3146
"Tyler County, Texas",48457,44497,2331 of 3146
"Jefferson County, Nebraska",31095,44510,2330 of 3146
"Caldwell County, North Carolina",37027,44511,2329 of 3146
"Tehama County, California",6103,44514,2328 of 3146
"Taylor County, Kentucky",21217,44522,2327 of 3146
"Miller County, Georgia",13201,44542,2326 of 3146
"Burke County, North Carolina",37023,44557,2325 of 3146
"Itawamba County, Mississippi",28057,44567,2324 of 3146
"McPherson County, South Dakota",46089,44574,2323 of 3146
"Bee County, Texas",48025,44578,2322 of 3146
"Fleming County, Kentucky",21069,44612,2321 of 3146
"Gladwin County, Michigan",26051,44619,2320 of 3146
"Hinds County, Mississippi",28049,44625,2319 of 3146
"Terry County, Texas",48445,44627,2318 of 3146
"Etowah County, Alabama",1055,44637,2317 of 3146
"Marion County, Georgia",13197,44643,2316 of 3146
"St. Bernard Parish, Louisiana",22087,44661,2315 of 3146
"Union County, Arkansas",5139,44663,2314 of 3146
"Union County, Tennessee",47173,44671,2313 of 3146
"Yadkin County, North Carolina",37197,44682,2312 of 3146
"Kent County, Texas",48263,44688,2310 of 3146
"Mahnomen County, Minnesota",27087,44688,2310 of 3146
"Grant County, Oregon",41023,44712,2309 of 3146
"Crockett County, Tennessee",47033,44717,2308 of 3146
"Saline County, Missouri",29195,44720,2307 of 3146
"Cleburne County, Alabama",1029,44741,2306 of 3146
"Lawrence County, Missouri",29109,44742,2305 of 3146
"Ashley County, Arkansas",5003,44744,2304 of 3146
"Pontotoc County, Mississippi",28115,44759,2303 of 3146
"Wayne County, Iowa",19185,44768,2302 of 3146
"Caldwell County, Kentucky",21033,44775,2301 of 3146
"Garland County, Arkansas",5051,44777,2300 of 3146
"Russell County, Kansas",20167,44792,2299 of 3146
"Carroll County, Virginia",51035,44835,2298 of 3146
"Lamar County, Georgia",13171,44846,2297 of 3146
"Nacogdoches County, Texas",48347,44847,2296 of 3146
"Cass County, Texas",48067,44848,2295 of 3146
"Gallia County, Ohio",39053,44858,2294 of 3146
"Liberty County, Montana",30051,44875,2293 of 3146
"Lawrence County, Alabama",1079,44886,2292 of 3146
"Polk County, Georgia",13233,44891,2291 of 3146
"Bath County, Kentucky",21011,44898,2290 of 3146
"Meigs County, Ohio",39105,44899,2289 of 3146
"Cullman County, Alabama",1043,44918,2288 of 3146
"Runnels County, Texas",48399,44940,2287 of 3146
"Crawford County, Ohio",39033,44971,2286 of 3146
"Coke County, Texas",48081,45000,2284 of 3146
"Glascock County, Georgia",13125,45000,2284 of 3146
"Waynesboro City, Virginia",51820,45011,2283 of 3146
"Mecosta County, Michigan",26107,45018,2282 of 3146
"Ballard County, Kentucky",21007,45048,2281 of 3146
"Coos County, Oregon",41011,45051,2280 of 3146
"Lincoln County, Kansas",20105,45076,2279 of 3146
"San Saba County, Texas",48411,45083,2278 of 3146
"Curry County, New Mexico",35009,45092,2277 of 3146
"Carlisle County, Kentucky",21039,45109,2276 of 3146
"Lamb County, Texas",48279,45111,2275 of 3146
"Little River County, Arkansas",5081,45113,2273 of 3146
"Warren County, Mississippi",28149,45113,2273 of 3146
"Isabella County, Michigan",26073,45116,2272 of 3146
"Lamar County, Texas",48277,45117,2271 of 3146
"Lawrence County, Ohio",39087,45118,2270 of 3146
"Aransas County, Texas",48007,45137,2269 of 3146
"Pulaski County, Georgia",13235,45148,2268 of 3146
"Montgomery County, Kansas",20125,45157,2267 of 3146
"Beaufort County, North Carolina",37013,45212,2266 of 3146
"Vigo County, Indiana",18167,45230,2265 of 3146
"Siskiyou County, California",6093,45241,2264 of 3146
"Yuma County, Arizona",4027,45243,2263 of 3146
"Crittenden County, Kentucky",21055,45244,2262 of 3146
"Delta County, Colorado",8029,45269,2261 of 3146
"Del Norte County, California",6015,45283,2260 of 3146
"Monroe County, Ohio",39111,45289,2259 of 3146
"Wilbarger County, Texas",48487,45302,2258 of 3146
"Allen County, Kansas",20001,45333,2257 of 3146
"Chase County, Kansas",20017,45353,2256 of 3146
"Marion County, Florida",12083,45371,2254 of 3146
"Sheridan County, Nebraska",31161,45371,2254 of 3146
"Cloud County, Kansas",20029,45373,2253 of 3146
"Boone County, Arkansas",5009,45374,2252 of 3146
"Mason County, Kentucky",21161,45377,2251 of 3146
"San Juan County, Utah",49037,45394,2250 of 3146
"Worth County, Georgia",13321,45398,2249 of 3146
"Potter County, Pennsylvania",42105,45419,2248 of 3146
"Luce County, Michigan",26095,45469,2247 of 3146
"Stone County, Mississippi",28131,45483,2245 of 3146
"Wayne County, Georgia",13305,45483,2245 of 3146
"Gem County, Idaho",16045,45492,2244 of 3146
"Schoolcraft County, Michigan",26153,45500,2243 of 3146
"Macon County, North Carolina",37113,45507,2241 of 3146
"Modoc County, California",6049,45507,2241 of 3146
"DeKalb County, Tennessee",47041,45511,2240 of 3146
"Montgomery County, Kentucky",21173,45516,2239 of 3146
"Nottoway County, Virginia",51135,45535,2238 of 3146
"Forest County, Wisconsin",55041,45536,2237 of 3146
"Nolan County, Texas",48353,45537,2236 of 3146
"Doddridge County, West Virginia",54017,45545,2235 of 3146
"Bulloch County, Georgia",13031,45550,2234 of 3146
"Ohio County, Kentucky",21183,45564,2233 of 3146
"Alger County, Michigan",26003,45570,2232 of 3146
"Mohave County, Arizona",4015,45587,2231 of 3146
"Grundy County, Missouri",29079,45594,2230 of 3146
"Jasper County, South Carolina",45053,45601,2229 of 3146
"Josephine County, Oregon",41033,45616,2228 of 3146
"Tift County, Georgia",13277,45639,2227 of 3146
"Troup County, Georgia",13285,45649,2226 of 3146
"Polk County, Missouri",29167,45660,2225 of 3146
"Sumter County, South Carolina",45085,45661,2224 of 3146
"Humphreys County, Tennessee",47085,45667,2223 of 3146
"Vinton County, Ohio",39163,45673,2222 of 3146
"Saluda County, South Carolina",45081,45714,2221 of 3146
"Silver Bow County, Montana",30093,45718,2220 of 3146
"Webster County, Mississippi",28155,45730,2219 of 3146
"Caswell County, North Carolina",37033,45733,2218 of 3146
"Marshall County, Oklahoma",40095,45746,2217 of 3146
"Union County, Mississippi",28145,45754,2216 of 3146
"Hancock County, West Virginia",54029,45763,2215 of 3146
"Blaine County, Oklahoma",40011,45792,2214 of 3146
"Henry County, Missouri",29083,45795,2213 of 3146
"Stewart County, Tennessee",47161,45809,2212 of 3146
"Tallapoosa County, Alabama",1123,45828,2211 of 3146
"Gordon County, Georgia",13129,45865,2210 of 3146
"Madison County, North Carolina",37115,45873,2209 of 3146
"Allegany County, Maryland",24001,45893,2208 of 3146
"Guernsey County, Ohio",39059,45917,2207 of 3146
"Bradford County, Florida",12007,45921,2206 of 3146
"Philadelphia County, Pennsylvania",42101,45927,2205 of 3146
"Linn County, Missouri",29115,45930,2204 of 3146
"Cumberland County, Tennessee",47035,45958,2203 of 3146
"Dolores County, Colorado",8033,45972,2202 of 3146
"Marshall County, Alabama",1095,45983,2201 of 3146
"Lewis County, Missouri",29111,45988,2200 of 3146
"Baker County, Oregon",41001,45998,2199 of 3146
"De Soto Parish, Louisiana",22031,46006,2198 of 3146
"Taney County, Missouri",29213,46031,2197 of 3146
"Mahoning County, Ohio",39099,46042,2196 of 3146
"Wirt County, West Virginia",54105,46048,2195 of 3146
"Carroll County, Mississippi",28015,46052,2194 of 3146
"Baraga County, Michigan",26013,46065,2193 of 3146
"Accomack County, Virginia",51001,46073,2192 of 3146
"Mason County, West Virginia",54053,46078,2191 of 3146
"McCracken County, Kentucky",21145,46080,2190 of 3146
"Greene County, Missouri",29077,46086,2189 of 3146
"Mitchell County, North Carolina",37121,46103,2188 of 3146
"Carroll County, Arkansas",5015,46110,2187 of 3146
"Fisher County, Texas",48151,46146,2186 of 3146
"Val Verde County, Texas",48465,46147,2185 of 3146
"Jones County, South Dakota",46075,46149,2184 of 3146
"Clark County, Idaho",16033,46154,2182 of 3146
"Harper County, Oklahoma",40059,46154,2182 of 3146
"Pettis County, Missouri",29159,46157,2180 of 3146
"Walker County, Georgia",13295,46157,2180 of 3146
"Fayette County, Indiana",18041,46175,2179 of 3146
"Webster County, Nebraska",31181,46188,2178 of 3146
"Morrill County, Nebraska",31123,46194,2177 of 3146
"Coles County, Illinois",17029,46202,2176 of 3146
"Mitchell County, Kansas",20123,46203,2175 of 3146
"Phillips County, Montana",30071,46212,2174 of 3146
"Lincoln County, New Mexico",35027,46216,2173 of 3146
"Sebastian County, Arkansas",5131,46228,2172 of 3146
"Stephens County, Texas",48429,46232,2171 of 3146
"Wapello County, Iowa",19179,46246,2170 of 3146
"Crawford County, Georgia",13079,46283,2169 of 3146
"Neosho County, Kansas",20133,46291,2168 of 3146
"Cimarron County, Oklahoma",40025,46328,2167 of 3146
"Lyon County, Kansas",20111,46338,2166 of 3146
"Calhoun County, South Carolina",45017,46339,2165 of 3146
"Adams County, Wisconsin",55001,46369,2164 of 3146
"Graham County, Kansas",20065,46375,2163 of 3146
"Boyle County, Kentucky",21021,46382,2162 of 3146
"Pike County, Missouri",29163,46385,2161 of 3146
"Muscogee County, Georgia",13215,46408,2160 of 3146
"Lynchburg City, Virginia",51680,46409,2159 of 3146
"Calhoun County, Arkansas",5013,46417,2158 of 3146
"Allen Parish, Louisiana",22003,46446,2157 of 3146
"Pawnee County, Nebraska",31133,46452,2156 of 3146
"St. Francois County, Missouri",29187,46466,2155 of 3146
"Webb County, Texas",48479,46475,2154 of 3146
"Sullivan County, Missouri",29211,46481,2153 of 3146
"Chippewa County, Michigan",26033,46486,2152 of 3146
"Klamath County, Oregon",41035,46491,2151 of 3146
"Columbia County, Florida",12023,46494,2150 of 3146
"Grant County, Nebraska",31075,46500,2149 of 3146
"Butte County, South Dakota",46019,46508,2148 of 3146
"Vermilion County, Illinois",17183,46515,2147 of 3146
"Wayne County, Indiana",18177,46516,2146 of 3146
"Chowan County, North Carolina",37041,46519,2145 of 3146
"Jefferson County, Ohio",39081,46581,2144 of 3146
"Caddo County, Oklahoma",40015,46592,2143 of 3146
"Lincoln County, Arkansas",5079,46596,2142 of 3146
"Wadena County, Minnesota",27159,46605,2141 of 3146
"Coshocton County, Ohio",39031,46606,2140 of 3146
"Meagher County, Montana",30059,46607,2139 of 3146
"Lawrence County, Illinois",17101,46636,2137 of 3146
"Peach County, Georgia",13225,46636,2137 of 3146
"Kanawha County, West Virginia",54039,46639,2136 of 3146
"Franklin County, Florida",12037,46643,2135 of 3146
"Fayette County, Illinois",17051,46650,2134 of 3146
"Cambria County, Pennsylvania",42021,46659,2133 of 3146
"Union County, Kentucky",21225,46673,2132 of 3146
"Day County, South Dakota",46037,46679,2130 of 3146
"Harrisonburg City, Virginia",51660,46679,2130 of 3146
"Clarion County, Pennsylvania",42031,46680,2129 of 3146
"Cleveland County, Arkansas",5025,46684,2127 of 3146
"Sullivan County, Tennessee",47163,46684,2127 of 3146
"Arkansas County, Arkansas",5001,46696,2126 of 3146
"Ashtabula County, Ohio",39007,46700,2125 of 3146
"Pamlico County, North Carolina",37137,46728,2124 of 3146
"Frio County, Texas",48163,46729,2123 of 3146
"Pacific County, Washington",53049,46733,2122 of 3146
"Chariton County, Missouri",29041,46738,2121 of 3146
"Coleman County, Texas",48083,46743,2120 of 3146
"Montgomery County, Missouri",29139,46757,2119 of 3146
"Pueblo County, Colorado",8101,46783,2118 of 3146
"Pittsburg County, Oklahoma",40121,46784,2117 of 3146
"Cross County, Arkansas",5037,46787,2116 of 3146
"Kay County, Oklahoma",40071,46809,2115 of 3146
"Chautauqua County, New York",36013,46820,2114 of 3146
"Crawford County, Arkansas",5033,46828,2112 of 3146
"Menominee County, Michigan",26109,46828,2112 of 3146
"Elmore County, Idaho",16039,46855,2111 of 3146
"Iberia Parish, Louisiana",22045,46861,2110 of 3146
"El Paso County, Texas",48141,46871,2109 of 3146
"Cumberland County, North Carolina",37051,46875,2108 of 3146
"Wyandotte County, Kansas",20209,46881,2107 of 3146
"Noble County, Ohio",39121,46897,2106 of 3146
"Kalkaska County, Michigan",26079,46898,2105 of 3146
"Pearl River County, Mississippi",28109,46901,2104 of 3146
"Shackelford County, Texas",48417,46935,2103 of 3146
"Hamilton County, Kansas",20075,46944,2102 of 3146
"Livingston County, Missouri",29117,46992,2101 of 3146
"Drew County, Arkansas",5043,46997,2100 of 3146
