State,FIPS,Value (Dollars),Rank within US
"Marengo County, Alabama",1091,33241,3029 of 3146
"Yazoo County, Mississippi",28163,33279,3028 of 3146
"Jackson County, South Dakota",46071,33295,3027 of 3146
"Seminole County, Georgia",13253,33357,3026 of 3146
"Macon County, Alabama",1087,33370,3025 of 3146
"Jim Hogg County, Texas",48247,33382,3024 of 3146
"Hampton County, South Carolina",45049,33429,3023 of 3146
"Galax City, Virginia",51640,33575,3022 of 3146
"Marlboro County, South Carolina",45069,33586,3021 of 3146
"Oregon County, Missouri",29149,33601,3020 of 3146
"Perry County, Kentucky",21193,33640,3019 of 3146
"Candler County, Georgia",13043,33736,3018 of 3146
"Attala County, Mississippi",28007,33767,3017 of 3146
"Noxubee County, Mississippi",28103,33784,3016 of 3146
"Red River Parish, Louisiana",22081,33816,3015 of 3146
"Taylor County, Georgia",13269,33832,3014 of 3146
"McKinley County, New Mexico",35031,33834,3013 of 3146
"Dallas County, Alabama",1047,33845,3012 of 3146
"Pemiscot County, Missouri",29155,33859,3011 of 3146
"Jefferson County, Georgia",13163,33944,3010 of 3146
"Zapata County, Texas",48505,33952,3009 of 3146
"Amite County, Mississippi",28005,33981,3008 of 3146
"Richland Parish, Louisiana",22083,34029,3007 of 3146
"Hale County, Alabama",1065,34046,3006 of 3146
"Jackson County, Arkansas",5067,34109,3005 of 3146
"Chicot County, Arkansas",5017,34147,3004 of 3146
"Calhoun County, Georgia",13037,34167,3003 of 3146
"Hickory County, Missouri",29085,34182,3002 of 3146
"Shannon County, Missouri",29203,34265,3001 of 3146
"Wayne County, Missouri",29223,34316,3000 of 3146
"Martinsville City, Virginia",51690,34371,2999 of 3146
"Zavala County, Texas",48507,34459,2998 of 3146
"Choctaw County, Oklahoma",40023,34489,2997 of 3146
"Pulaski County, Illinois",17153,34640,2996 of 3146
"La Paz County, Arizona",4012,34643,2995 of 3146
"Sharp County, Arkansas",5135,34671,2994 of 3146
"Hall County, Texas",48191,34673,2993 of 3146
"Adair County, Oklahoma",40001,34695,2992 of 3146
"Winston County, Mississippi",28159,34724,2991 of 3146
"Carter County, Kentucky",21043,34736,2990 of 3146
"Terrell County, Georgia",13273,34768,2989 of 3146
"Wright County, Missouri",29229,34776,2988 of 3146
"Buffalo County, South Dakota",46017,34808,2987 of 3146
"Casey County, Kentucky",21045,34819,2986 of 3146
"Pike County, Kentucky",21195,34856,2985 of 3146
"Monroe County, Kentucky",21171,34879,2983 of 3146
"Twiggs County, Georgia",13289,34879,2983 of 3146
"Wayne County, Kentucky",21231,34914,2982 of 3146
"Webster County, West Virginia",54101,34927,2981 of 3146
"Scott County, Mississippi",28123,34943,2980 of 3146
"Ripley County, Missouri",29181,34971,2979 of 3146
"Robeson County, North Carolina",37155,34976,2978 of 3146
"Sabine County, Texas",48403,34992,2977 of 3146
"Clay County, West Virginia",54015,35024,2976 of 3146
"Texas County, Missouri",29215,35067,2975 of 3146
"Lake County, Tennessee",47095,35191,2974 of 3146
"Jackson County, Tennessee",47087,35207,2973 of 3146
"Franklin Parish, Louisiana",22041,35282,2972 of 3146
"Tyrrell County, North Carolina",37177,35300,2971 of 3146
"Cumberland County, Kentucky",21057,35344,2970 of 3146
"St. Francis County, Arkansas",5123,35348,2969 of 3146
"Mississippi County, Missouri",29133,35357,2968 of 3146
"Fulton County, Arkansas",5049,35405,2967 of 3146
"Ouachita County, Arkansas",5103,35425,2966 of 3146
"DeSoto County, Florida",12027,35438,2965 of 3146
"Lincoln Parish, Louisiana",22061,35467,2964 of 3146
"Halifax County, North Carolina",37083,35502,2963 of 3146
"Willacy County, Texas",48489,35521,2962 of 3146
"Bertie County, North Carolina",37015,35527,2961 of 3146
"Rockcastle County, Kentucky",21203,35720,2960 of 3146
"Montgomery County, Arkansas",5097,35741,2959 of 3146
"Corson County, South Dakota",46031,35759,2958 of 3146
"Winston County, Alabama",1133,35788,2957 of 3146
"Barnwell County, South Carolina",45011,35803,2956 of 3146
"Mineral County, Nevada",32021,35806,2955 of 3146
"Real County, Texas",48385,35862,2954 of 3146
"Jasper County, Mississippi",28061,35872,2953 of 3146
"Baca County, Colorado",8009,35878,2952 of 3146
"Union County, New Mexico",35059,35884,2951 of 3146
"Choctaw County, Alabama",1023,35892,2950 of 3146
"Green County, Kentucky",21087,35899,2949 of 3146
"Marion County, Alabama",1093,35930,2948 of 3146
"Newton County, Mississippi",28101,35958,2947 of 3146
"Washington County, North Carolina",37187,35979,2946 of 3146
"Johnson County, Tennessee",47091,36004,2945 of 3146
"Crisp County, Georgia",13081,36042,2944 of 3146
"Glacier County, Montana",30035,36045,2943 of 3146
"Howard County, Arkansas",5061,36059,2942 of 3146
"Conejos County, Colorado",8021,36084,2941 of 3146
"Scott County, Arkansas",5127,36092,2940 of 3146
"Torrance County, New Mexico",35057,36120,2939 of 3146
"Morgan County, Kentucky",21175,36134,2938 of 3146
"Richmond County, North Carolina",37153,36148,2937 of 3146
"Logan County, West Virginia",54045,36168,2936 of 3146
"Bladen County, North Carolina",37017,36173,2935 of 3146
"Columbia County, Arkansas",5027,36193,2934 of 3146
"Benton County, Mississippi",28009,36258,2933 of 3146
"Escambia County, Alabama",1053,36275,2932 of 3146
"Radford City, Virginia",51750,36297,2931 of 3146
"Colfax County, New Mexico",35007,36302,2930 of 3146
"Colleton County, South Carolina",45029,36324,2929 of 3146
"Dunklin County, Missouri",29069,36380,2928 of 3146
"Menard County, Texas",48327,36395,2927 of 3146
"St. Landry Parish, Louisiana",22097,36403,2926 of 3146
"Colquitt County, Georgia",13071,36435,2925 of 3146
"Searcy County, Arkansas",5129,36438,2924 of 3146
"Warren County, North Carolina",37185,36466,2923 of 3146
"Fentress County, Tennessee",47049,36520,2922 of 3146
"Grayson County, Virginia",51077,36544,2921 of 3146
"Chickasaw County, Mississippi",28017,36548,2920 of 3146
"Jeff Davis County, Georgia",13161,36669,2919 of 3146
"Sumter County, Georgia",13261,36681,2918 of 3146
"Cocke County, Tennessee",47029,36716,2917 of 3146
"Marion County, Arkansas",5089,36719,2916 of 3146
"Wade Hampton Census Area, Alaska",2270,36754,2915 of 3146
"Choctaw County, Mississippi",28019,36777,2914 of 3146
"Alexander County, Illinois",17003,36806,2913 of 3146
"Chattooga County, Georgia",13055,36807,2912 of 3146
"Claiborne County, Tennessee",47025,36835,2911 of 3146
"Edgecombe County, North Carolina",37065,36866,2910 of 3146
"Ware County, Georgia",13299,36869,2909 of 3146
"Cherokee County, South Carolina",45021,36883,2908 of 3146
"Wilcox County, Georgia",13315,36964,2907 of 3146
"Washington County, Florida",12133,37022,2906 of 3146
"Madison County, Florida",12079,37037,2905 of 3146
"Turner County, Georgia",13287,37039,2904 of 3146
